trial_number,runtime_seconds,average_utility,front_numbers,front_size,front_changed,on_front,dynamic_runtime_ref,dynamic_utility_ref,dynamic_hv,dynamic_hv_delta,fixed_runtime_ref,fixed_utility_ref,fixed_hv,fixed_hv_delta
0,69.352,11868.233199999999,[0],1,True,True,72.81960000000001,11274.821539999999,2057.714272216002,,179.82719999999998,885.560033371296,1213313.014617939,
1,2.2,3886.7594786427144,"[1, 0]",2,True,True,72.81960000000001,3692.4215047105786,28350.444634585627,26292.730362369624,179.82719999999998,885.560033371296,1213313.014617939,0.0
2,2.784,3096.632,"[1, 0]",2,False,False,72.81960000000001,3692.4215047105786,28350.444634585627,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
3,14.526,10012.923862674652,"[1, 3, 0]",3,True,True,72.81960000000001,3692.4215047105786,28350.444634585627,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
4,2.564,6195.454,"[1, 4, 3, 0]",4,True,True,72.81960000000001,3692.4215047105786,28350.444634585627,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
5,10.174,5894.874365668662,"[1, 4, 3, 0]",4,False,False,72.81960000000001,3692.4215047105786,28350.444634585627,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
6,1.162,1408.9959461849521,"[6, 1, 4, 3, 0]",5,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,8162.298183893021,179.82719999999998,885.560033371296,1213313.014617939,0.0
7,6.726000000000001,7597.3216,"[6, 1, 4, 7, 3, 0]",6,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
8,2.722,6152.1744,"[6, 1, 4, 7, 3, 0]",6,False,False,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
9,38.769999999999996,7195.2652,"[6, 1, 4, 7, 3, 0]",6,False,False,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
10,5.922,7933.918631536925,"[6, 1, 4, 10, 3, 0]",6,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
11,25.834000000000003,3293.9568,"[6, 1, 4, 10, 3, 0]",6,False,False,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
12,24.546,10379.8848,"[6, 1, 4, 10, 3, 12, 0]",7,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
13,1.614,2484.5135999999998,"[6, 13, 1, 4, 10, 3, 12, 0]",8,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
14,2.444,4532.7228707753475,"[6, 13, 1, 14, 4, 10, 3, 12, 0]",9,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
15,8.11,7983.698983632736,"[6, 13, 1, 14, 4, 10, 15, 3, 12, 0]",10,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
16,1.518,2476.6033141716566,"[6, 16, 13, 1, 14, 4, 10, 15, 3, 12, 0]",11,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
17,30.082,9913.59475246479,"[6, 16, 13, 1, 14, 4, 10, 15, 3, 12, 0]",11,False,False,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
18,1.6219999999999999,2998.9652,"[6, 16, 13, 18, 1, 14, 4, 10, 15, 3, 12, 0]",12,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
19,3.822,6303.0468,"[6, 16, 13, 18, 1, 14, 4, 19, 10, 15, 3, 12, 0]",13,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
20,13.636000000000001,9603.988800000001,"[6, 16, 13, 18, 1, 14, 4, 19, 10, 15, 20, 3, 12, 0]",14,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
21,1.45,2501.692647011952,"[6, 21, 18, 1, 14, 4, 19, 10, 15, 20, 3, 12, 0]",13,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
22,171.26399999999998,10231.0948,"[6, 21, 18, 1, 14, 4, 19, 10, 15, 20, 3, 12, 0]",13,False,False,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
23,93.622,6545.168167664671,"[6, 21, 18, 1, 14, 4, 19, 10, 15, 20, 3, 12, 0]",13,False,False,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
24,1.384,4613.500356886228,"[6, 24, 4, 19, 10, 15, 20, 3, 12, 0]",10,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
25,4.2,7685.223106586825,"[6, 24, 4, 19, 25, 10, 15, 20, 3, 12, 0]",11,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
26,1.698,5167.039614371258,"[6, 24, 26, 4, 19, 25, 10, 15, 20, 3, 12, 0]",12,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
27,2.2359999999999998,6016.892,"[6, 24, 26, 27, 4, 19, 25, 10, 15, 20, 3, 12, 0]",13,True,True,72.81960000000001,1338.5461488757044,36512.74281847865,0.0,179.82719999999998,885.560033371296,1213313.014617939,0.0
28,54.513999999999996,12078.278,"[6, 24, 26, 27, 4, 19, 25, 10, 15, 20, 3, 12, 28]",13,True,True,57.2397,1338.5461488757044,29273.28710660953,-7239.455711869119,179.82719999999998,885.560033371296,1402595.305095736,189282.29047779692
29,1.448,4802.618126946108,"[6, 24, 29, 26, 27, 4, 19, 25, 10, 15, 20, 3, 12, 28]",14,True,True,57.2397,1338.5461488757044,29273.28710660953,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
30,5.896,8487.48836007984,"[6, 24, 29, 26, 27, 4, 19, 25, 30, 20, 3, 12, 28]",13,True,True,57.2397,1338.5461488757044,29273.28710660953,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
31,12.35,10532.024885429142,"[6, 24, 29, 26, 27, 4, 19, 25, 30, 31, 28]",11,True,True,57.2397,1338.5461488757044,29273.28710660953,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
32,2.914,932.1684561803115,"[6, 24, 29, 26, 27, 4, 19, 25, 30, 31, 28]",11,False,False,57.2397,1338.5461488757044,29273.28710660953,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
33,1.004,3221.284,"[33, 24, 29, 26, 27, 4, 19, 25, 30, 31, 28]",11,True,True,57.2397,3060.2198,24580.52123574003,-4692.765870869498,179.82719999999998,885.560033371296,1402595.305095736,0.0
34,20.27,4008.884465469062,"[33, 24, 29, 26, 27, 4, 19, 25, 30, 31, 28]",11,False,False,57.2397,3060.2198,24580.52123574003,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
35,19.822,10757.5536,"[33, 24, 29, 26, 27, 4, 19, 25, 30, 31, 35, 28]",12,True,True,57.2397,3060.2198,24580.52123574003,0.0,179.82719999999998,885.560033371296,1402595.305095736,0.0
